Metric,Value
Accuracy,0.9945065724936237
Precision,0.9945038844153792
Recall,0.9945065724936237
F1 Score,0.9945025802784779
Jaccard Index,0.9890920339134076
MCC,0.9926349335612827
AUC,0.9999062372812183
