Metric,Value
Accuracy,0.9958799293702177
Precision,0.9958839761388801
Recall,0.9958799293702177
F1 Score,0.9958775157552461
Jaccard Index,0.9918007840312904
MCC,0.9944780920855071
AUC,0.9999549921367943
