Metric,Value
Accuracy,0.9970570924072985
Precision,0.9970564117774506
Recall,0.9970570924072985
F1 Score,0.9970557962257567
Jaccard Index,0.9941380756025505
MCC,0.9960540795979023
AUC,0.9999909004603391
